land_area_m2,built_up_area_m2,floors,daily_water_m3,daily_waste_kg,hazardous_waste_kg_per_month,avg_noise_db,distance_to_residential_m,vegetation_removed_percent,near_sensitive_zone,vehicles_per_day,fuel_consumption_l_per_day,final_pm25,final_no2,final_so2,final_co,impact_class_numeric,impact_label
5993,19956,3,103.71765742127214,34.42040639093541,0.0,75.40362888980228,380,45.92488919658672,0,654,327.0,117.12102031954677,52.7,11.712102031954679,1.1712102031954676,0,Low
4723,7327,1,43.521058973581866,16.60264578331575,0.0,66.2378215816119,241,99.22115592912175,0,260,130.0,76.83013228916579,33.0,7.683013228916579,0.7683013228916579,0,Low
1550,4695,3,20.089847351522675,8.60929529989828,0.0,89.1615442903394,239,9.06064345328208,0,203,101.5,70.7304647649949,30.15,7.073046476499491,0.707304647649949,0,Low
3875,10334,3,59.109248326426275,22.15863848301289,0.0,59.2708251269958,323,94.88855372533332,0,491,245.5,100.20793192415064,44.55,10.020793192415065,1.0020793192415065,0,Low
9058,27400,3,155.25908116314181,47.64015320489037,0.0,50.39708314340944,611,66.2522284353982,0,1220,610.0,174.3820076602445,81.0,17.43820076602445,1.7438200766024452,1,Moderate
7797,22761,3,92.46944369916196,51.754595003645406,6.079256203747433,66.04171300129119,319,72.72719958564208,0,1018,509.0,154.38772975018227,70.9,15.438772975018228,1.5438772975018227,1,Moderate
8026,23812,3,141.2173187531473,49.66295960473227,0.0,61.17007403531848,206,80.21969807540397,1,923,461.5,144.78314798023663,66.15,14.478314798023664,1.4478314798023664,1,Moderate
13283,33037,2,151.53993765631967,53.2313240824306,4.249262872128653,72.55385127509723,468,77.12703466859458,1,2000,1000.0,252.66156620412153,120.0,25.266156620412154,2.5266156620412152,2,High
8207,19918,2,106.31596014110747,42.47987319928584,5.891731916690666,78.03925243084487,596,47.22149251619493,0,771,385.5,129.2239936599643,58.550000000000004,12.92239936599643,1.2922399365996429,0,Low
9776,28381,3,157.2856390685808,56.62113025633422,7.2707150560717135,63.768511159105586,603,43.93365018657701,0,1316,658.0,184.4310565128167,85.8,18.44310565128167,1.844310565128167,0,Low
13588,25115,2,130.81988496112476,51.03048720643322,4.105871344964208,71.21770240668965,888,28.9751452913768,0,1811,905.5,233.65152436032167,110.55000000000001,23.36515243603217,2.3365152436032166,0,Low
6161,13794,2,58.0863756401975,27.108350292193013,0.0,46.104397735033665,389,89.25589984899777,0,495,247.5,100.85541751460966,44.75,10.085541751460966,1.0085541751460965,0,Low
8948,19509,2,103.30757312328288,31.222521627841296,0.0,64.24149856794917,308,0.6952130531190703,0,831,415.5,134.6611260813921,61.550000000000004,13.46611260813921,1.346611260813921,0,Low
6988,22578,3,102.47758334500604,40.5342928330482,0.0,43.24461235544908,721,51.87906217433661,0,754,377.0,127.42671464165241,57.7,12.742671464165241,1.274267146416524,0,Low
5807,18819,3,102.08444046357614,32.33987834783443,0.0,41.65253664502742,748,60.956433397989684,0,1409,704.5,192.51699391739172,90.45,19.251699391739173,1.9251699391739172,1,Moderate
5855,13833,2,72.88196430250794,29.665758809085673,0.0,44.04266631663576,779,98.56504541106007,0,713,356.5,122.78328794045429,55.65,12.278328794045429,1.227832879404543,0,Low
7356,25803,4,127.48233454122227,61.58501384360771,6.763492013547925,74.7906403395441,193,83.5302495589238,0,1698,849.0,222.8792506921804,104.9,22.28792506921804,2.228792506921804,1,Moderate
3663,13354,4,62.121710440131935,23.71927915935227,0.0,87.0261632244802,560,22.649577519793795,0,808,404.0,131.9859639579676,60.400000000000006,13.198596395796763,1.3198596395796762,0,Low
10856,39019,4,208.80550535351136,85.38031820532454,6.946606136209566,89.10841716647178,347,25.79416277151556,0,2031,1015.5,257.3690159102662,121.55000000000001,25.736901591026623,2.573690159102662,0,Low
500,1395,3,6.307713397776841,3.3438191289298436,0.0,53.94356762960909,502,90.04180571633304,0,102,51.0,60.36719095644649,25.1,6.036719095644649,0.6036719095644649,0,Low
9132,33247,4,159.88536340486291,76.80775397880451,0.0,69.03433107182273,674,16.162871409461378,0,2245,1122.5,278.3403876989402,132.25,27.834038769894022,2.7834038769894023,0,Low
10943,26599,2,156.40921887186892,63.27718751508374,5.858717489443383,48.79626263386727,755,69.18951976926932,0,1071,535.5,160.2638593757542,73.55000000000001,16.026385937575423,1.602638593757542,1,Moderate
7490,14583,2,69.0204285711437,32.01459099018708,0.0,71.81663090929477,689,56.830860333547164,1,890,445.0,140.60072954950937,64.5,14.060072954950938,1.4060072954950937,1,Moderate
9233,19630,2,101.67832947522695,46.78053344635074,5.75453530725782,49.76214938990223,76,79.48113035416485,0,1380,690.0,190.33902667231754,89.0,19.033902667231754,1.9033902667231755,1,Moderate
8073,12600,1,66.66590185686061,21.945275648423053,4.193057212853717,86.41592812938626,422,88.3494022266259,0,915,457.5,142.59726378242115,65.75,14.259726378242116,1.4259726378242115,0,Low
6954,17874,3,106.05197647117309,42.37739477639464,0.0,55.84610025781389,240,30.569701928718185,0,1209,604.5,173.01886973881975,80.45,17.301886973881974,1.7301886973881975,0,Low
